级别	题型	text
HSK4	对话填空	外面有好多人，停了好多辆车，特别热闹。今天老王的女儿结婚，我们也去祝贺一下吧。
HSK4	句子填空	这次演出活动举办得非常成功，吸引了不少当地的观众。
HSK5	排序	这个电视剧取材于一个神话。
HSK4	排序	祝你们这次访问一切顺利。
HSK2	句子填空	你好，这个篮球卖三百。
HSK3	排序	他要去机场接女朋友。
HSK4	排序	亚洲经济的增长速度正在逐渐提高。
HSK2	句子填空	你会说汉语吗？
HSK4	句子填空	他弟弟不但聪明，而且很懂礼貌，给客人们留下了非常好的印象。
HSK3	排序	她不喜欢用铅笔写字。
HSK6	单选	随着生活节奏的不断加快，现代人工作之余需要用娱乐来调节身体的紧张状态，只一味地工作，不参加任何娱乐活动，最终会损害身体健康。
HSK5	完形	从前有一位老人叫愚公，他家门前有两座山，又高又大，挡住了路，全家人出门都很不方便。一天，愚公把家里人叫到一起，说：“有山挡着，出门太困难了，我们把它搬走，好不好？”全家人都很赞成，只有他的妻子没有信心。她说：“你已经快90了，怎么能搬山呢？而且山上的石头，要搬到哪里去呢？愚公说：“可以扔到海里。村里人看到愚公这么大年纪还在搬山，都很感动，也来帮助他们。有个叫智叟的老头儿看到了，笑话愚公太傻。愚公却说：“我死了还有儿子，儿子还有孙子，我们的人越来越多，山上的石头却越来越少，我们一定能成功！
HSK4	对话填空	快点儿，咱们的飞机就要起飞了。没事，广播里说，国际航班都推迟起飞了，咱可以再逛逛。
HSK4	排序	难道你连这个规定都不知道？
HSK4	句子填空	市场调查结果和他们想的几乎完全相反，他们不得不改变原来的计划。
HSK4	对话填空	今天真冷啊，好像白天最高温度才2℃。刚才电视里说明天更冷。
HSK2	对话填空	女：你弟弟喜欢游泳吗？男：他不太喜欢游泳，他喜欢打篮球。
HSK4	排序	我对这个城市很熟悉。
HSK1	对话填空	男：你认识他？他是谁？女：他是我的学生。
HSK4	排序	我保证按时完成任务。
HSK6	单选	良好的口语交际能力，已成为现代人必备的素质，口语交际是在一定的语言情境中相互传递信息的过程，是人与人之间交流和沟通的基本手段。
HSK2	句子填空	坐你旁边的这个人是谁？
HSK4	对话填空	真抱歉，我迟到了。没关系，表演还有5分钟才开始。
HSK2	句子填空	外面下雨了？
HSK1	句子填空	中午我能请你吃饭吗？
HSK4	排序	银行决定招聘一名高级主管。
HSK2	句子填空	小猫你别叫了，这些鱼都是给你准备的。
HSK4	对话填空	机会不会自己跑到你面前的，要主动点儿。您放心，我会再试一次的，就算被拒绝了，也不后悔。
